Path 1:
  5.0682, 4.3833, 0.8061, 5.0682, 4.3833, 0.8061
  5.0682, -0.4167, 0.0851, 5.0682, 4.3833, 0.8061
  5.0682, -4.9287, 0.5958, 5.0682, 4.3833, 0.8061
  5.0682, -8.0000, 0.7240, 5.0682, 4.3833, 0.8061
  0.4943, -4.5801, 0.3072, 5.0682, 4.3833, 0.8061
  0.4943, -8.0000, 1.2821, 0.4943, -8.0000, 1.2821
  0.4943, -8.0000, 1.2821, 0.4943, -8.0000, 1.2821
  0.4943, -8.0000, 1.2821, 0.4943, -8.0000, 1.2821
  -2.6184, -8.0000, 3.4219, -2.6184, -8.0000, 3.4219
  -2.6184, -8.0000, 3.4219, -2.6184, -8.0000, 3.4219
  -2.6184, -5.2496, 1.2261, -2.6184, -8.0000, 3.4219
  -2.6184, -5.2496, 1.2261, -2.6184, -8.0000, 3.4219
  -2.6184, -5.2496, 1.2261, -2.6184, -8.0000, 3.4219
  -0.3340, -5.2496, 0.8278, -2.6184, -8.0000, 3.4219
  -2.4813, -5.2496, 1.2619, -2.6184, -8.0000, 3.4219
  -4.9035, -5.2496, 0.7977, -2.6184, -8.0000, 3.4219
  -4.9035, -7.5265, 0.8183, -2.6184, -8.0000, 3.4219
  -7.0438, -7.5265, 0.5393, -2.6184, -8.0000, 3.4219
  -7.0438, -7.5265, 0.5393, -2.6184, -8.0000, 3.4219
  -5.1527, -7.5265, 0.6721, -2.6184, -8.0000, 3.4219
  -6.1492, -4.2723, 1.6448, -2.6184, -8.0000, 3.4219
  -6.1492, -4.2723, 1.6448, -2.6184, -8.0000, 3.4219
  -8.0000, -4.2723, 2.0605, -2.6184, -8.0000, 3.4219
  -8.0000, -6.0442, 1.9307, -2.6184, -8.0000, 3.4219
  -8.0000, -4.3787, 2.1589, -2.6184, -8.0000, 3.4219
  -8.0000, -4.3787, 2.1589, -2.6184, -8.0000, 3.4219
  -8.0000, -4.3787, 2.1589, -2.6184, -8.0000, 3.4219
  -8.0000, -4.3787, 2.1589, -2.6184, -8.0000, 3.4219
  -8.0000, -2.8183, 0.6528, -2.6184, -8.0000, 3.4219
  -8.0000, -2.6162, 0.5528, -2.6184, -8.0000, 3.4219
  -8.0000, -1.2374, 0.8054, -2.6184, -8.0000, 3.4219

Path 2:
  -5.6800, 4.5485, 1.3676, -5.6800, 4.5485, 1.3676
  -8.0000, 4.5485, 1.5107, -8.0000, 4.5485, 1.5107
  -8.0000, 4.5485, 1.5107, -8.0000, 4.5485, 1.5107
  -3.7587, 4.5485, 1.4055, -8.0000, 4.5485, 1.5107
  -5.2432, 3.5764, 1.2980, -8.0000, 4.5485, 1.5107
  -5.2432, 7.3240, 1.2733, -8.0000, 4.5485, 1.5107
  -5.2432, 7.3240, 1.2733, -8.0000, 4.5485, 1.5107
  -8.0000, 7.3240, 0.0891, -8.0000, 4.5485, 1.5107
  -8.0000, 5.3805, 0.7124, -8.0000, 4.5485, 1.5107
  -4.4889, 5.3805, 2.0654, -4.4889, 5.3805, 2.0654
  -1.1884, 5.3805, 0.4187, -4.4889, 5.3805, 2.0654
  -4.2909, 5.3805, 2.1195, -4.2909, 5.3805, 2.1195
  -5.5891, 4.1172, 1.4001, -4.2909, 5.3805, 2.1195
  -5.5891, 6.8585, 1.2532, -4.2909, 5.3805, 2.1195
  -8.0000, 6.8585, 0.1472, -4.2909, 5.3805, 2.1195
  -8.0000, 6.8585, 0.1472, -4.2909, 5.3805, 2.1195
  -8.0000, 5.0779, 0.9539, -4.2909, 5.3805, 2.1195
  -5.8597, 5.0779, 1.2955, -4.2909, 5.3805, 2.1195
  -5.8597, 7.4921, 0.7595, -4.2909, 5.3805, 2.1195
  -3.5904, 7.4921, 1.6047, -4.2909, 5.3805, 2.1195
  -3.5904, 5.3589, 2.0396, -4.2909, 5.3805, 2.1195
  -3.5904, 5.3589, 2.0396, -4.2909, 5.3805, 2.1195
  -3.5904, 3.4740, 0.6077, -4.2909, 5.3805, 2.1195
  -3.5904, 5.2458, 1.9563, -4.2909, 5.3805, 2.1195
  -5.1337, 4.0297, 1.2766, -4.2909, 5.3805, 2.1195
  -5.2703, 8.0000, 0.7996, -4.2909, 5.3805, 2.1195
  -3.5043, 8.0000, 1.1098, -4.2909, 5.3805, 2.1195
  -3.5043, 8.0000, 1.1098, -4.2909, 5.3805, 2.1195
  -3.5043, 6.4396, 2.2782, -3.5043, 6.4396, 2.2782
  -3.5043, 4.9728, 1.6996, -3.5043, 6.4396, 2.2782
  -3.5043, 3.5940, 0.6420, -3.5043, 6.4396, 2.2782

Path 3:
  -3.8905, -2.7409, 0.6924, -3.8905, -2.7409, 0.6924
  -8.0000, -2.7409, 0.6104, -3.8905, -2.7409, 0.6924
  -8.0000, 1.7711, 4.2509, -8.0000, 1.7711, 4.2509
  -3.7587, 1.7711, 0.4690, -8.0000, 1.7711, 4.2509
  -5.2432, 1.7711, 1.4575, -8.0000, 1.7711, 4.2509
  -5.2432, -1.9765, 0.5142, -8.0000, 1.7711, 4.2509
  -5.2432, 1.5462, 1.4356, -8.0000, 1.7711, 4.2509
  -8.0000, -8.0000, 0.2216, -8.0000, 1.7711, 4.2509
  -8.0000, -4.5801, 2.3178, -8.0000, 1.7711, 4.2509
  -8.0000, -0.9189, 1.0797, -8.0000, 1.7711, 4.2509
  -8.0000, 2.3816, 4.1864, -8.0000, 1.7711, 4.2509
  -8.0000, -0.7209, 1.2868, -8.0000, 1.7711, 4.2509
  -8.0000, 0.1513, 2.4522, -8.0000, 1.7711, 4.2509
  -8.0000, 0.1513, 2.4522, -8.0000, 1.7711, 4.2509
  -5.4232, 0.1513, 1.1787, -8.0000, 1.7711, 4.2509
  -5.4232, 3.0580, 1.5239, -8.0000, 1.7711, 4.2509
  -8.0000, 3.0580, 3.5723, -8.0000, 1.7711, 4.2509
  -8.0000, 3.0580, 3.5723, -8.0000, 1.7711, 4.2509
  -8.0000, 0.6438, 3.1738, -8.0000, 1.7711, 4.2509
  -8.0000, 0.6438, 3.1738, -8.0000, 1.7711, 4.2509
  -8.0000, 1.0383, 3.6859, -8.0000, 1.7711, 4.2509
  -8.0000, 1.0383, 3.6859, -8.0000, 1.7711, 4.2509
  -8.0000, 1.0383, 3.6859, -8.0000, 1.7711, 4.2509
  -8.0000, 3.1645, 3.4375, -8.0000, 1.7711, 4.2509
  -8.0000, 2.6768, 3.9783, -8.0000, 1.7711, 4.2509
  -8.0000, 2.6768, 3.9783, -8.0000, 1.7711, 4.2509
  -8.0000, 2.6768, 3.9783, -8.0000, 1.7711, 4.2509
  -8.0000, 0.6848, 3.2312, -8.0000, 1.7711, 4.2509
  -8.0000, 1.0650, 3.7165, -8.0000, 1.7711, 4.2509
  -8.0000, 2.8251, 3.8365, -8.0000, 1.7711, 4.2509
  -8.0000, 2.8251, 3.8365, -8.0000, 1.7711, 4.2509

Path 4:
  -3.4381, 3.3816, 0.5242, -3.4381, 3.3816, 0.5242
  -3.4381, 8.0000, 1.0938, -3.4381, 8.0000, 1.0938
  1.0739, 8.0000, 2.7174, 1.0739, 8.0000, 2.7174
  1.0739, 8.0000, 2.7174, 1.0739, 8.0000, 2.7174
  1.0739, 8.0000, 2.7174, 1.0739, 8.0000, 2.7174
  1.0739, 8.0000, 2.7174, 1.0739, 8.0000, 2.7174
  4.5966, 8.0000, 0.4064, 1.0739, 8.0000, 2.7174
  4.5966, 8.0000, 0.4064, 1.0739, 8.0000, 2.7174
  4.5966, 4.8873, 0.6359, 1.0739, 8.0000, 2.7174
  1.0855, 4.8873, 0.3137, 1.0739, 8.0000, 2.7174
  4.5971, -8.0000, 0.8889, 1.0739, 8.0000, 2.7174
  4.5971, -4.8976, 0.7171, 1.0739, 8.0000, 2.7174
  0.1881, -2.5635, 0.0577, 1.0739, 8.0000, 2.7174
  2.9294, -2.5635, 0.0660, 1.0739, 8.0000, 2.7174
  0.3526, -2.5635, 0.0471, 1.0739, 8.0000, 2.7174
  0.3526, -5.4702, 0.7045, 1.0739, 8.0000, 2.7174
  -2.3797, -5.4702, 1.5505, 1.0739, 8.0000, 2.7174
  -2.3797, -2.9019, 0.6246, 1.0739, 8.0000, 2.7174
  -4.7939, -2.9019, 0.4185, 1.0739, 8.0000, 2.7174
  -4.7939, -0.6325, 1.0649, 1.0739, 8.0000, 2.7174
  -5.9160, 0.2087, 1.4818, 1.0739, 8.0000, 2.7174
  -5.9160, 0.2087, 1.4818, 1.0739, 8.0000, 2.7174
  -5.9160, -2.0531, 0.3958, 1.0739, 8.0000, 2.7174
  -5.9160, 0.0730, 1.3841, 1.0739, 8.0000, 2.7174
  -6.6454, 0.6674, 2.5458, 1.0739, 8.0000, 2.7174
  -6.6454, 2.5460, 3.2419, -6.6454, 2.5460, 3.2419
  -6.6454, 4.3120, 1.6262, -6.6454, 2.5460, 3.2419
  -6.6454, 4.3120, 1.6262, -6.6454, 2.5460, 3.2419
  -7.1195, 3.4227, 2.8665, -6.6454, 2.5460, 3.2419
  -7.1195, 3.4227, 2.8665, -6.6454, 2.5460, 3.2419
  -7.1195, 3.4227, 2.8665, -6.6454, 2.5460, 3.2419

Path 5:
  -6.2960, 5.5236, 1.0275, -6.2960, 5.5236, 1.0275
  -8.0000, 5.5236, 0.6167, -6.2960, 5.5236, 1.0275
  -8.0000, 5.5236, 0.6167, -6.2960, 5.5236, 1.0275
  -8.0000, 5.5236, 0.6167, -6.2960, 5.5236, 1.0275
  -8.0000, 4.2102, 1.9483, -8.0000, 4.2102, 1.9483
  -8.0000, 0.4626, 2.9131, -8.0000, 0.4626, 2.9131
  -8.0000, 3.9854, 2.2650, -8.0000, 0.4626, 2.9131
  -8.0000, 3.9854, 2.2650, -8.0000, 0.4626, 2.9131
  -8.0000, 0.8727, 3.4830, -8.0000, 0.8727, 3.4830
  -8.0000, 0.8727, 3.4830, -8.0000, 0.8727, 3.4830
  -8.0000, -1.8777, 0.4911, -8.0000, 0.8727, 3.4830
  -8.0000, 1.4057, 4.0470, -8.0000, 1.4057, 4.0470
  -8.0000, 1.5336, 4.1377, -8.0000, 1.5336, 4.1377
  -8.0000, 1.5336, 4.1377, -8.0000, 1.5336, 4.1377
  -8.0000, 1.5336, 4.1377, -8.0000, 1.5336, 4.1377
  -8.0000, 1.5336, 4.1377, -8.0000, 1.5336, 4.1377
  -8.0000, 1.6167, 4.1858, -8.0000, 1.6167, 4.1858
  -8.0000, 1.6167, 4.1858, -8.0000, 1.6167, 4.1858
  -8.0000, 3.2933, 3.2654, -8.0000, 1.6167, 4.1858
  -8.0000, 3.2933, 3.2654, -8.0000, 1.6167, 4.1858
  -8.0000, 2.7605, 3.9011, -8.0000, 1.6167, 4.1858
  -8.0000, 1.3680, 4.0165, -8.0000, 1.6167, 4.1858
  -8.0000, 1.3680, 4.0165, -8.0000, 1.6167, 4.1858
  -8.0000, 2.8445, 3.8163, -8.0000, 1.6167, 4.1858
  -8.0000, 2.4688, 4.1360, -8.0000, 1.6167, 4.1858
  -8.0000, 1.1642, 3.8248, -8.0000, 1.6167, 4.1858
  -8.0000, 1.1642, 3.8248, -8.0000, 1.6167, 4.1858
  -6.8472, 1.1642, 3.2522, -8.0000, 1.6167, 4.1858
  -7.9308, 1.1642, 3.8341, -8.0000, 1.6167, 4.1858
  -7.9308, 1.1642, 3.8341, -8.0000, 1.6167, 4.1858
  -7.9308, 2.3131, 4.2296, -7.9308, 2.3131, 4.2296

Path 6:
  4.7904, 1.8688, 0.6885, 4.7904, 1.8688, 0.6885
  4.7904, -2.9312, 0.0951, 4.7904, 1.8688, 0.6885
  0.2784, -2.9312, 0.0573, 4.7904, 1.8688, 0.6885
