Path 1:
  5.0682, 4.3833, 0.8061, 5.0682, 4.3833, 0.8061, 2.0000
  5.5682, 3.8833, 0.8954, 5.5682, 3.8833, 0.8954, 1.8200
  6.0682, 3.3833, 0.8351, 5.5682, 3.8833, 0.8954, 1.6562
  6.5682, 3.3833, 0.6665, 5.5682, 3.8833, 0.8954, 1.5071
  7.0682, 2.8833, 0.4736, 5.5682, 3.8833, 0.8954, 1.3715
  6.5682, 2.8833, 0.6498, 5.5682, 3.8833, 0.8954, 1.2481
  6.0682, 2.3833, 0.7248, 5.5682, 3.8833, 0.8954, 1.1357
  6.0682, 2.8833, 0.8142, 5.5682, 3.8833, 0.8954, 1.0335
  5.5682, 3.3833, 0.9555, 5.5682, 3.3833, 0.9555, 0.9405
  5.0682, 3.3833, 0.9985, 5.0682, 3.3833, 0.9985, 0.8559
  5.0682, 3.8833, 0.9369, 5.0682, 3.3833, 0.9985, 0.7788
  5.0682, 3.3833, 0.9985, 5.0682, 3.3833, 0.9985, 0.7087
  5.5682, 2.8833, 0.9314, 5.0682, 3.3833, 0.9985, 0.6450
  6.0682, 3.3833, 0.8351, 5.0682, 3.3833, 0.9985, 0.5869
  6.5682, 2.8833, 0.6498, 5.0682, 3.3833, 0.9985, 0.5341
  7.0682, 2.3833, 0.4217, 5.0682, 3.3833, 0.9985, 0.4860
  6.5682, 2.3833, 0.5786, 5.0682, 3.3833, 0.9985, 0.4423
  7.0682, 2.8833, 0.4736, 5.0682, 3.3833, 0.9985, 0.4025
  7.5682, 3.3833, 0.3233, 5.0682, 3.3833, 0.9985, 0.3662
  7.0682, 3.8833, 0.4549, 5.0682, 3.3833, 0.9985, 0.3333
  7.0682, 3.3833, 0.4858, 5.0682, 3.3833, 0.9985, 0.3033
  7.0682, 3.8833, 0.4549, 5.0682, 3.3833, 0.9985, 0.2760
  6.5682, 4.3833, 0.5339, 5.0682, 3.3833, 0.9985, 0.2512
  6.0682, 3.8833, 0.7822, 5.0682, 3.3833, 0.9985, 0.2286
  5.5682, 3.3833, 0.9555, 5.0682, 3.3833, 0.9985, 0.2080
  5.0682, 2.8833, 0.9730, 5.0682, 3.3833, 0.9985, 0.1893
  5.5682, 2.3833, 0.8292, 5.0682, 3.3833, 0.9985, 0.1722
  5.5682, 1.8833, 0.6741, 5.0682, 3.3833, 0.9985, 0.1567
  5.5682, 1.8833, 0.6741, 5.0682, 3.3833, 0.9985, 0.1426
  5.5682, 1.8833, 0.6741, 5.0682, 3.3833, 0.9985, 0.1298
  5.0682, 2.3833, 0.8662, 5.0682, 3.3833, 0.9985, 0.1181

